Matrix Size (n),Block Size (k),Threads,CPU Time (ms),CPU GFLOPS,OpenMP Time (ms),OpenMP GFLOPS,Max Error,Exceeds Tolerance
512,32,8,19.297,0.87,0.594478,28.22,5e-06,False
512,48,8,23.991,1.05,0.683203,36.84,7e-06,False
512,64,8,19.817,1.69,0.803377,41.77,1.1e-05,True
512,96,8,21.758,2.31,1.106195,45.5,1.7e-05,True
512,128,8,23.848,2.81,1.415595,47.41,2.7e-05,True
1024,32,8,24.95,2.69,2.430052,27.62,5e-06,False
1024,48,8,28.821,3.49,2.445668,41.16,8e-06,False
1024,64,8,33.371,4.02,2.940111,45.65,1.1e-05,True
1024,96,8,42.084,4.78,4.062586,49.56,1.9e-05,True
1024,128,8,49.664,5.41,5.228378,51.34,3.1e-05,True
2048,32,8,51.119,5.25,6.922055,38.78,5e-06,False
2048,48,8,72.716,5.54,9.922773,40.58,8e-06,False
2048,64,8,88.065,6.1,10.496769,51.15,1.3e-05,True
2048,96,8,112.013,7.19,15.853811,50.8,1.9e-05,True
2048,128,8,140.726,7.63,20.603057,52.12,3.8e-05,True
4096,32,8,151.733,7.08,24.920043,43.09,5e-06,False
4096,48,8,204.062,7.89,34.136709,47.18,8e-06,False
4096,64,8,251.972,8.52,42.067587,51.05,1.5e-05,True
4096,96,8,342.565,9.4,58.610983,54.96,2.3e-05,True
4096,128,8,441.134,9.74,73.980838,58.06,3.4e-05,True
512,32,16,36.202,0.46,0.398416,42.11,4e-06,False
512,48,16,39.288,0.64,0.428975,58.67,8e-06,False
512,64,16,39.818,0.84,0.511963,65.54,1.1e-05,True
512,96,16,38.742,1.3,0.667833,75.37,1.9e-05,True
512,128,16,47.175,1.42,0.847105,79.22,3.1e-05,True
1024,32,16,44.319,1.51,1.524955,44.01,4e-06,False
1024,48,16,49.734,2.02,1.547802,65.04,8e-06,False
1024,64,16,53.432,2.51,1.954198,68.68,1.3e-05,True
1024,96,16,57.701,3.49,2.642401,76.19,1.9e-05,True
1024,128,16,74.83,3.59,3.070589,87.42,3.1e-05,True
2048,32,16,68.006,3.95,4.145727,64.75,5e-06,False
2048,48,16,88.431,4.55,5.613126,71.73,8e-06,False
2048,64,16,100.464,5.34,7.246014,74.09,1.3e-05,True
2048,96,16,138.558,5.81,9.595968,83.92,2.1e-05,True
2048,128,16,162.666,6.6,11.735037,91.5,3.1e-05,True
4096,32,16,174.307,6.16,15.29897,70.18,6e-06,False
4096,48,16,225.446,7.14,20.307899,79.31,9e-06,False
4096,64,16,265.77,8.08,24.287708,88.42,1.3e-05,True
4096,96,16,373.582,8.62,34.08948,94.49,2.1e-05,True
4096,128,16,458.583,9.37,42.744361,100.48,3.4e-05,True
512,32,32,2.818,5.95,0.693794,24.18,5e-06,False
512,48,32,3.366,7.48,0.841435,29.91,7e-06,False
512,64,32,4.498,7.46,1.088545,30.83,1.1e-05,True
512,96,32,6.004,8.38,1.246966,40.36,1.7e-05,True
512,128,32,7.875,8.52,1.287952,52.11,3.1e-05,True
1024,32,32,8.62,7.79,2.055004,32.66,5e-06,False
1024,48,32,13.346,7.54,1.951508,51.58,8e-06,False
1024,64,32,17.282,7.77,2.359491,56.88,1.1e-05,True
1024,96,32,22.434,8.97,2.76247,72.88,1.9e-05,True
1024,128,32,32.812,8.18,3.481362,77.11,3.1e-05,True
2048,32,32,34.681,7.74,4.853576,55.31,6e-06,False
2048,48,32,52.431,7.68,5.770821,69.77,8e-06,False
2048,64,32,70.349,7.63,6.633505,80.93,1.3e-05,True
2048,96,32,98.97,8.14,9.507168,84.71,2.3e-05,True
2048,128,32,128.799,8.34,12.724217,84.39,3.4e-05,True
4096,32,32,140.232,7.66,14.95067,71.82,6e-06,False
4096,48,32,187.163,8.61,21.93182,73.44,1e-05,False
4096,64,32,234.345,9.16,27.472649,78.17,1.3e-05,True
4096,96,32,329.721,9.77,36.888726,87.32,2.3e-05,True
4096,128,32,425.731,10.09,49.123049,87.43,4.2e-05,True
512,32,64,2.797,6.0,0.698123,24.03,5e-06,False
512,48,64,3.295,7.64,0.866797,29.03,8e-06,False
512,64,64,4.292,7.82,1.081273,31.03,1.1e-05,True
512,96,64,6.03,8.35,1.337431,37.63,2.1e-05,True
512,128,64,8.111,8.27,1.71642,39.1,2.7e-05,True
1024,32,64,8.866,7.57,2.403691,27.92,5e-06,False
1024,48,64,13.598,7.4,1.863901,54.01,8e-06,False
1024,64,64,18.259,7.35,2.34687,57.19,1.1e-05,True
1024,96,64,29.711,6.78,2.831418,71.1,2.1e-05,True
1024,128,64,33.913,7.92,3.454708,77.7,3.1e-05,True
2048,32,64,36.383,7.38,4.476361,59.97,5e-06,False
2048,48,64,53.911,7.47,5.74312,70.11,8e-06,False
2048,64,64,68.684,7.82,6.647632,80.76,1.1e-05,True
2048,96,64,98.091,8.21,9.827547,81.94,1.9e-05,True
2048,128,64,124.02,8.66,12.296349,87.32,3.1e-05,True
4096,32,64,138.422,7.76,15.449364,69.5,5e-06,False
4096,48,64,187.297,8.6,20.099156,80.13,8e-06,False
4096,64,64,235.406,9.12,26.203468,81.95,1.3e-05,True
4096,96,64,329.736,9.77,34.591507,93.12,2.1e-05,True
4096,128,64,425.47,10.09,44.229429,97.11,3.8e-05,True
