n,k,Loop Order,Time (sec),GFLOPS
512,32,I-J-L,0.042837,0.39
512,32,I-L-J,0.037861,0.44
512,32,J-I-L,0.044883,0.37
512,32,J-L-I,0.072819,0.23
512,32,L-I-J,0.036718,0.46
512,32,L-J-I,0.071819,0.23
512,48,I-J-L,0.062776,0.4
512,48,I-L-J,0.052863,0.48
512,48,J-I-L,0.063853,0.39
512,48,J-L-I,0.106758,0.24
512,48,L-I-J,0.052859,0.48
512,48,L-J-I,0.109712,0.23
512,64,I-J-L,0.096796,0.35
512,64,I-L-J,0.071801,0.47
512,64,J-I-L,0.100711,0.33
512,64,J-L-I,0.156971,0.21
512,64,L-I-J,0.070692,0.47
512,64,L-J-I,0.144369,0.23
512,96,I-J-L,0.143379,0.35
512,96,I-L-J,0.105687,0.48
512,96,J-I-L,0.14653,0.34
512,96,J-L-I,0.21534,0.23
512,96,L-I-J,0.107567,0.47
512,96,L-J-I,0.233324,0.22
512,128,I-J-L,0.226311,0.3
512,128,I-L-J,0.142633,0.47
512,128,J-I-L,0.228066,0.29
512,128,J-L-I,0.299227,0.22
512,128,L-I-J,0.146441,0.46
512,128,L-J-I,0.308072,0.22
1024,32,I-J-L,0.179972,0.37
1024,32,I-L-J,0.147509,0.45
1024,32,J-I-L,0.174531,0.38
1024,32,J-L-I,0.338323,0.2
1024,32,L-I-J,0.143536,0.47
1024,32,L-J-I,0.338192,0.2
1024,48,I-J-L,0.281065,0.36
1024,48,I-L-J,0.21437,0.47
1024,48,J-I-L,0.293057,0.34
1024,48,J-L-I,0.620579,0.16
1024,48,L-I-J,0.227228,0.44
1024,48,L-J-I,0.505681,0.2
1024,64,I-J-L,0.451657,0.3
1024,64,I-L-J,0.286112,0.47
1024,64,J-I-L,0.469824,0.29
1024,64,J-L-I,0.683047,0.2
1024,64,L-I-J,0.291126,0.46
1024,64,L-J-I,0.68519,0.2
1024,96,I-J-L,0.808769,0.25
1024,96,I-L-J,0.455294,0.44
1024,96,J-I-L,0.820986,0.25
1024,96,J-L-I,1.027797,0.2
1024,96,L-I-J,0.427754,0.47
1024,96,L-J-I,1.01935,0.2
1024,128,I-J-L,1.077882,0.25
1024,128,I-L-J,0.579456,0.46
1024,128,J-I-L,1.091344,0.25
1024,128,J-L-I,1.386226,0.19
1024,128,L-I-J,0.587202,0.46
1024,128,L-J-I,1.369476,0.2
2048,32,I-J-L,0.856349,0.31
2048,32,I-L-J,0.590194,0.45
2048,32,J-I-L,0.943515,0.28
2048,32,J-L-I,2.751672,0.1
2048,32,L-I-J,0.607299,0.44
2048,32,L-J-I,2.929833,0.09
2048,48,I-J-L,1.512735,0.27
2048,48,I-L-J,0.918005,0.44
2048,48,J-I-L,1.609207,0.25
2048,48,J-L-I,2.970687,0.14
2048,48,L-I-J,0.869362,0.46
2048,48,L-J-I,3.072768,0.13
2048,64,I-J-L,2.144612,0.25
2048,64,I-L-J,1.159716,0.46
2048,64,J-I-L,2.195626,0.24
2048,64,J-L-I,3.937114,0.14
2048,64,L-I-J,1.184482,0.45
2048,64,L-J-I,4.181792,0.13
2048,96,I-J-L,3.173141,0.25
2048,96,I-L-J,1.727893,0.47
2048,96,J-I-L,3.321777,0.24
2048,96,J-L-I,5.877258,0.14
2048,96,L-I-J,1.747056,0.46
2048,96,L-J-I,6.26665,0.13
2048,128,I-J-L,4.407686,0.24
2048,128,I-L-J,2.350528,0.46
2048,128,J-I-L,4.410619,0.24
2048,128,J-L-I,7.596053,0.14
2048,128,L-I-J,2.302878,0.47
2048,128,L-J-I,7.928281,0.14
4096,32,I-J-L,3.317224,0.32
4096,32,I-L-J,2.31974,0.46
4096,32,J-I-L,4.611452,0.23
4096,32,J-L-I,18.03777,0.06
4096,32,L-I-J,2.294068,0.47
4096,32,L-J-I,18.202622,0.06
4096,48,I-J-L,5.438863,0.3
4096,48,I-L-J,3.457109,0.47
4096,48,J-I-L,6.802473,0.24
4096,48,J-L-I,39.343807,0.04
4096,48,L-I-J,3.455622,0.47
4096,48,L-J-I,29.376164,0.05
4096,64,I-J-L,8.192817,0.26
4096,64,I-L-J,4.570477,0.47
4096,64,J-I-L,9.313503,0.23
4096,64,J-L-I,31.949936,0.07
4096,64,L-I-J,4.630379,0.46
4096,64,L-J-I,33.137747,0.06
4096,96,I-J-L,12.9867,0.25
4096,96,I-L-J,6.894731,0.47
4096,96,J-I-L,14.025287,0.23
4096,96,J-L-I,49.236128,0.07
4096,96,L-I-J,7.010709,0.46
4096,96,L-J-I,49.581423,0.06
4096,128,I-J-L,17.285886,0.25
4096,128,I-L-J,9.20811,0.47
4096,128,J-I-L,18.603249,0.23
4096,128,J-L-I,63.978664,0.07
4096,128,L-I-J,9.345451,0.46
4096,128,L-J-I,65.665296,0.07
